account_id,type,robots_start,robot_growth_mo,tasks_per_robot_mo,volatility
A001,oem_partner,96,0.06686701264207627,2119.458915155953,0.17240791813656764
A002,smb_direct,4,0.03376703621704823,2490.418815564011,0.2873480819673054
A003,enterprise_direct,24,0.05487573432102619,4472.854087575215,0.24004299213254718
A004,oem_partner,191,0.07766930949157003,3434.8267000602623,0.2651067547929862
A005,enterprise_direct,34,0.04586718081858893,5250.653025728391,0.2824376847543594
A006,smb_direct,2,0.03802234241144157,2657.8464957361603,0.20390375327211152
A007,midmarket_direct,14,0.03031920543298472,3537.638514210506,0.2415235038490271
A008,enterprise_direct,39,0.04984619262335316,5232.42237357986,0.16006822085159825
A009,enterprise_direct,24,0.044837827690862725,4086.157627663389,0.28698921905163377
A010,midmarket_direct,12,0.04574866742702554,3648.4678247233182,0.3386939604517661
A011,oem_partner,76,0.05435020532148537,2643.148637372108,0.1027829997011948
A012,enterprise_direct,36,0.05073900772310909,4387.244050267365,0.11333695397258743
A013,enterprise_direct,31,0.04159499280775982,5217.814238167083,0.2674382817120935
A014,oem_partner,150,0.04748426414021357,3394.5083691559616,0.1572226057177537
A015,enterprise_direct,50,0.049112256548057946,4420.901370570503,0.22476491307284874
A016,enterprise_direct,32,0.04042511142884475,4522.154217525783,0.1611729521038798
A017,midmarket_direct,11,0.03099805315653645,3777.906550926065,0.27414329598230036
A018,midmarket_direct,10,0.036789458333694076,3748.7217437668683,0.10126530856302954
A019,midmarket_direct,17,0.04754996799250034,3140.544626742975,0.12937750157457537
A020,enterprise_direct,54,0.04506375089878958,4295.035193848332,0.13170855586725555
A021,midmarket_direct,11,0.0369054557985146,2526.6983431865997,0.263082820694041
A022,midmarket_direct,13,0.037684577451719575,3326.346772320284,0.1616561002129953
A023,oem_partner,181,0.05109074757439726,2987.40297886485,0.32130395200341455
A024,midmarket_direct,9,0.03448981842842213,3577.652203811967,0.3083214918846143
A025,midmarket_direct,14,0.04634471881953734,3702.152208050182,0.2928300628028202
A026,midmarket_direct,6,0.044201119977394544,3554.087927275791,0.25319498052053957
A027,midmarket_direct,9,0.04916734230492663,3513.272610456821,0.241809703675638
A028,smb_direct,3,0.026876661879080953,2620.385331892448,0.3244743889525612
A029,midmarket_direct,7,0.03898101670333832,2698.2675186752776,0.33492658085262844
A030,smb_direct,4,0.0343635762886336,1604.5218303859192,0.10816093280560751
A031,enterprise_direct,53,0.05500050259135564,4355.318829997197,0.1267072546099847
A032,enterprise_direct,43,0.049726268992042466,4127.430776584101,0.2689567361250585
A033,smb_direct,3,0.028332885227667706,2169.395230727397,0.11811032689691961
A034,oem_partner,74,0.07780406543272822,3112.801054680029,0.20171889280130884
A035,enterprise_direct,54,0.05173004022333186,3930.168798775451,0.31741226196957206
A036,midmarket_direct,10,0.03926544595068267,2753.3469663861997,0.33461499093223257
A037,smb_direct,3,0.03217084575658313,1643.6258885918344,0.2673147899783933
A038,oem_partner,85,0.04402752935336496,3451.5991250286143,0.15565224095917624
A039,enterprise_direct,22,0.04955089791866811,5333.663844098364,0.1611246846637067
A040,midmarket_direct,11,0.04563740069819473,4012.239295518521,0.27948834762007396
A041,smb_direct,4,0.029396397654723547,2239.144924048173,0.14382880146971
A042,enterprise_direct,28,0.04939519173787914,4072.935991300296,0.21753224460739692
A043,smb_direct,3,0.0385523138724418,2628.782301181081,0.20472149331327066
A044,midmarket_direct,9,0.03632931717407648,3298.744484522486,0.18931408676159156
A045,smb_direct,5,0.03093652122898992,2323.6009981634816,0.16794757751777678
A046,midmarket_direct,15,0.027223852678471074,2727.3464331617347,0.2668492804644481
A047,midmarket_direct,8,0.03121000163754752,3636.899015615565,0.11262665709370819
A048,smb_direct,3,0.03869071491370488,2628.325864675274,0.26937665478926964
A049,enterprise_direct,34,0.0356897833555242,3815.5644921800113,0.313380102635621
A050,enterprise_direct,28,0.0498519239309647,5418.8680777073905,0.16448467465644984
A051,midmarket_direct,15,0.027788478610955215,2777.675834347323,0.15135326387007786
A052,smb_direct,4,0.03579328423765593,2527.635855668107,0.2479390083368041
A053,smb_direct,4,0.022042562811755557,1933.6131959297825,0.13862966569892474
A054,midmarket_direct,11,0.04779689483724816,4028.033329979356,0.1768812215863403
A055,midmarket_direct,7,0.03785834072965438,4007.6963611252363,0.1743132667804837
A056,midmarket_direct,14,0.02961393399946607,3805.1305354389287,0.3051771186447758
A057,enterprise_direct,54,0.049235779835008084,3614.8639647471587,0.1891890495548285
A058,midmarket_direct,14,0.02705074733037153,3459.8024405255137,0.10820324843033388
A059,smb_direct,3,0.03249707536441813,1622.7549698889534,0.3224284736248769
A060,smb_direct,2,0.02814224159821255,2258.9481731976216,0.23110386485975412
