customer_id,month,arr
C00001,2022-01,23002.63
C00001,2022-02,23002.63
C00001,2022-03,23002.63
C00001,2022-04,24681.52
C00001,2022-05,24681.52
C00001,2022-06,24681.52
C00001,2022-07,24681.52
C00001,2022-08,24681.52
C00001,2022-09,24681.52
C00001,2022-10,24681.52
C00001,2022-11,24681.52
C00001,2022-12,24681.52
C00001,2023-01,24681.52
C00001,2023-02,30993.28
C00001,2023-03,30993.28
C00001,2023-04,30993.28
C00001,2023-05,30993.28
C00001,2023-06,30993.28
C00001,2023-07,30993.28
C00001,2023-08,30993.28
C00001,2023-09,30993.28
C00001,2023-10,30993.28
C00001,2023-11,30993.28
C00001,2023-12,30993.28
C00001,2024-01,30993.28
C00001,2024-02,30993.28
C00001,2024-03,30993.28
C00001,2024-04,30993.28
C00001,2024-05,30993.28
C00001,2024-06,30993.28
C00001,2024-07,35281.87
C00001,2024-08,35281.87
C00001,2024-09,35281.87
C00001,2024-10,35281.87
C00001,2024-11,35281.87
C00001,2024-12,35281.87
C00001,2025-01,35281.87
C00001,2025-02,35281.87
C00001,2025-03,35281.87
C00001,2025-04,35281.87
C00001,2025-05,35281.87
C00001,2025-06,35281.87
C00001,2025-07,35281.87
C00002,2022-01,53834.61
C00002,2022-02,53834.61
C00002,2022-03,53834.61
C00002,2022-04,53834.61
C00002,2022-05,53834.61
C00002,2022-06,53834.61
C00002,2022-07,53834.61
C00002,2022-08,53834.61
C00002,2022-09,53834.61
C00002,2022-10,53834.61
C00002,2022-11,53834.61
C00002,2022-12,53834.61
C00002,2023-01,53834.61
C00002,2023-02,53834.61
C00002,2023-03,53834.61
C00002,2023-04,53834.61
C00002,2023-05,53834.61
C00002,2023-06,53834.61
C00002,2023-07,53834.61
C00002,2023-08,53834.61
C00002,2023-09,53834.61
C00002,2023-10,53834.61
C00002,2023-11,53834.61
C00002,2023-12,53834.61
C00002,2024-01,53834.61
C00002,2024-02,53834.61
C00002,2024-03,53834.61
C00002,2024-04,53834.61
C00002,2024-05,53834.61
C00002,2024-06,53834.61
C00002,2024-07,53834.61
C00002,2024-08,53834.61
C00002,2024-09,53834.61
C00002,2024-10,53834.61
C00002,2024-11,53834.61
C00002,2024-12,53834.61
C00002,2025-01,53834.61
C00002,2025-02,53834.61
C00002,2025-03,53834.61
C00002,2025-04,53834.61
C00002,2025-05,53834.61
C00002,2025-06,53834.61
C00002,2025-07,53834.61
C00002,2025-08,53834.61
C00002,2025-09,53834.61
C00002,2025-10,53834.61
C00002,2025-11,53834.61
C00002,2025-12,53834.61
C00002,2026-01,53834.61
C00002,2026-02,53834.61
C00002,2026-03,53834.61
C00002,2026-04,53834.61
C00002,2026-05,53834.61
C00002,2026-06,53834.61
C00003,2022-01,18476.9
C00003,2022-02,18476.9
C00003,2022-03,18476.9
C00003,2022-04,18476.9
C00003,2022-05,18476.9
C00003,2022-06,18476.9
C00003,2022-07,18476.9
C00003,2022-08,18476.9
C00003,2022-09,18476.9
