contract_id,tier,mi,platform,impl,usage_billed,usage_base,usage_over,actual_tasks,committed_tasks,utilization
K001,growth,0,6000.0,12000.0,3990.0,3990.0,0.0,15329,26600.0,0.5762781954887218
K001,growth,1,6000.0,12000.0,3990.0,3990.0,0.0,15368,26600.0,0.5777443609022557
K001,growth,2,6000.0,0.0,3990.0,3990.0,0.0,13739,26600.0,0.5165037593984962
K001,growth,3,6000.0,0.0,3990.0,3990.0,0.0,13675,26600.0,0.5140977443609023
K001,growth,4,6000.0,0.0,3990.0,3990.0,0.0,13566,26600.0,0.51
K001,growth,5,6000.0,0.0,3990.0,3990.0,0.0,13656,26600.0,0.5133834586466165
K001,growth,6,6000.0,0.0,3990.0,3990.0,0.0,12610,26600.0,0.47406015037593985
K001,growth,7,6000.0,0.0,3990.0,3990.0,0.0,12347,26600.0,0.46417293233082707
K001,growth,8,6000.0,0.0,3990.0,3990.0,0.0,12474,26600.0,0.4689473684210526
K002,starter,0,2000.0,4000.0,2784.0,2784.0,0.0,6720,11600.0,0.5793103448275863
K002,starter,1,2000.0,4000.0,2784.0,2784.0,0.0,6535,11600.0,0.5633620689655172
K002,starter,2,2000.0,0.0,2784.0,2784.0,0.0,6317,11600.0,0.5445689655172414
K002,starter,3,2000.0,0.0,2784.0,2784.0,0.0,6130,11600.0,0.528448275862069
K002,starter,4,2000.0,0.0,2784.0,2784.0,0.0,6094,11600.0,0.5253448275862069
K002,starter,5,2000.0,0.0,2784.0,2784.0,0.0,5985,11600.0,0.5159482758620689
K002,starter,6,2000.0,0.0,2784.0,2784.0,0.0,6204,11600.0,0.5348275862068965
K002,starter,7,2000.0,0.0,2784.0,2784.0,0.0,6003,11600.0,0.5175
K002,starter,8,2000.0,0.0,2784.0,2784.0,0.0,5377,11600.0,0.4635344827586207
K002,starter,9,2000.0,0.0,2784.0,2784.0,0.0,5804,11600.0,0.5003448275862069
K002,starter,10,2000.0,0.0,2784.0,2784.0,0.0,5414,11600.0,0.46672413793103446
K002,starter,11,2000.0,0.0,2784.0,2784.0,0.0,5043,11600.0,0.43474137931034484
K002,starter,12,2000.0,0.0,2784.0,2784.0,0.0,5483,11600.0,0.47267241379310343
K002,starter,13,2000.0,0.0,2784.0,2784.0,0.0,5583,11600.0,0.48129310344827586
K003,enterprise,0,15000.0,30000.0,9775.0,9775.0,0.0,64683,115000.0,0.5624608695652173
K003,enterprise,1,15000.0,30000.0,9775.0,9775.0,0.0,58748,115000.0,0.5108521739130435
K003,enterprise,2,15000.0,0.0,9775.0,9775.0,0.0,62178,115000.0,0.5406782608695652
K003,enterprise,3,15000.0,0.0,9775.0,9775.0,0.0,58168,115000.0,0.5058086956521739
K003,enterprise,4,15000.0,0.0,9775.0,9775.0,0.0,58214,115000.0,0.506208695652174
K003,enterprise,5,15000.0,0.0,9775.0,9775.0,0.0,57384,115000.0,0.49899130434782607
K003,enterprise,6,15000.0,0.0,9775.0,9775.0,0.0,54874,115000.0,0.47716521739130435
K003,enterprise,7,15000.0,0.0,9775.0,9775.0,0.0,54366,115000.0,0.47274782608695654
K003,enterprise,8,15000.0,0.0,9775.0,9775.0,0.0,59615,115000.0,0.5183913043478261
K003,enterprise,9,15000.0,0.0,9775.0,9775.0,0.0,51766,115000.0,0.4501391304347826
K003,enterprise,10,15000.0,0.0,9775.0,9775.0,0.0,52113,115000.0,0.45315652173913046
K003,enterprise,11,15000.0,0.0,9775.0,9775.0,0.0,54687,115000.0,0.47553913043478263
K003,enterprise,12,15000.0,0.0,9775.0,9775.0,0.0,54760,115000.0,0.4761739130434783
K003,enterprise,13,15000.0,0.0,9775.0,9775.0,0.0,51137,115000.0,0.4446695652173913
K003,enterprise,14,15000.0,0.0,9775.0,9775.0,0.0,54416,115000.0,0.47318260869565215
K003,enterprise,15,15000.0,0.0,9775.0,9775.0,0.0,50048,115000.0,0.4352
K003,enterprise,16,15000.0,0.0,9775.0,9775.0,0.0,47140,115000.0,0.40991304347826085
K003,enterprise,17,15000.0,0.0,9775.0,9775.0,0.0,51516,115000.0,0.44796521739130435
K004,enterprise,1,15000.0,30000.0,10242.5,10242.5,0.0,54492,120500.0,0.45221576763485477
K004,enterprise,2,15000.0,30000.0,10242.5,10242.5,0.0,62382,120500.0,0.5176929460580912
K004,enterprise,3,15000.0,0.0,10242.5,10242.5,0.0,67376,120500.0,0.5591369294605809
K004,enterprise,4,15000.0,0.0,10242.5,10242.5,0.0,69874,120500.0,0.5798672199170124
K004,enterprise,5,15000.0,0.0,10242.5,10242.5,0.0,79838,120500.0,0.6625560165975104
